ABY	Abyssinian			
AMBOB	American Bobtail	Kesik Kuyruklu Amerikan Kedisi		
AMCRL	American Curl	Amerikan Kıvırcık		
AMSVP	American Shorthair 	Amerikan Kısa Tüylü		
AMWRT	American Wirehair Red Tabby	Amerikan Kalın Tüylü Kırmızı Tekir	Tabby	
AMWTW	American Wirehair Tortoiseshell-and-White			
BIRM	Birman Cat	Birman Kedisi		
BTBUR	Black-tipped Burmilla			
BLABY	Blue Abyssinian	Mavi Abyssinian		
BLBUR	Blue Burmese	Mavi Burmese		
BPBAL	Blue-Point Balinese	Mavi Noktalı Balinese		
BPBIR	Blue-Point Birman	Mavi Noktalı Birman		
BPSIA	Blue-Point Siamese	Mavi Noktalı Siyam		
BPSNOW	Blue-Point Snowshoe	Mavi Noktalı Karayak		
BOMC	Bombay Cat	Bombay Kedisi		
BRASH	Brazilian Shorthair	Brezilyalı Kısa Tüylü		
BRISH	British Shorthair	İngiliz Kısa Tüylü Kedisi		
BRBUR	Brown Burmese	Kahverengi Burmese		
BRTAB	Brown Tabby	Kahverengi Tekir	Tabby	
CALSPA	Californian Spangled			
CART	Carthusian			
CHART	Charteux	Manastır Kedisi		
CHAUS	Chausie			
CHIN	Chinchilla			
CHBUR	Chocolate Burmese	Kahverengi Burmese		
CPSIA	Chocolate-Point Siamese	Kahverengi Noktalı Siyam		
CPONTS	Colorpoint Shorthair	Kısa Tüylü Çift Renk		
CRCHT	Cornish Rex Chocolate Tortoiseshell	Kahverengi Benekli Cornish Rex		
CRSS	Cornish Rex Silver-shaded			
CYM	Cymric(Brown Tabby Mackerel)			
DRBS	Devon Rex Blue Smoke	Mavi Gri Devon Rex		
DRW	Devon Rex White	Beyaz Devon Rex		
DSCH	Devon Si-Rex Chocolate			
EMB	Egyptian Mau Bronze	Mısırlı Mau Bronz		
EMS	Egyptian Mau Smoke	Mısırlı Mau Kahverengi		
EUSH	European Shorthair	Avrupalı Kısa Tüylü		
EXSBT	Exotic Shorthair Blue Tabby	Kısa Tüylü Egzotik Mavi Tekir	Tabby	
EXSDC	Exotic Shorthair Dilute Calico			
EXSRC	Exotic Shorthair Redshell Cameo			
FBLT	Foreign Blue Tabby	Yabancı Mavi Tekir	Tabby	
FCHT	Foreign Chocolate Tortoiseshell	Yabancı Benekli Kahverengi		
FEBO	Foreign Ebony			
FHAV	Foreign Havanna	Yabancı Havanna		
FLIL	Foreign Lilac	Yabancı Lila		
FWHI	Foreign White	Yabancı Beyaz		
