AFFEN	Affenpinscher				
AFG-HND	Afghan Hound	Afgan Tazısı	hound		
AIDI	Aidi				
AINU	Ainu				
AIRE-TER	Airedale Terrier		terrier		
AKBAS	Akbash Dog	Akbaş Çoban Köpeği		Turkey	
AKITA	Akita Inu				
ALABAI	Alabai	Alabay			
ALA-MAL	Alaskan Malamute	Alaska Malamutu			
ALP-DAC	Alpine Dachsbracke				
AME-BUL	American Bulldog	Amerikan Bulldog			
AME-COC	American Cocker				
AME-COC-SPA	American Cocker Spaniel	Amerikan Cocker Spaniel	spaniel		
AME-ENG-COO	American English Coonhound		coonhound	USA	
AME-ESK	American Eskimo Dog	Amerikan Eskimo			
AME-FXH	American Foxhound	Amerikan Tilki Tazısı	hound		
AME-HLS-TER	American Hairless Terrier	Amerikan Tüysüz Terrieri	terrier		
AME-IND	American Indian Dog	Amerikan Yerli Köpeği			
AME-PIT-TER	American Pitbull Terrier	Amerikan Pitbull Terrier	terrier		TRUE
AME-STA-TER	American Staffordshire Terrier	Amerikan Staffordshire Terrier	terrier		
AME-WTR-SPA	American Water Spaniel	Amerikan Su Spanieli	spaniel		
ANA-SHP	Anatolian Shepherd Dog	Kangal	shepherd		
APPEN-MOU	Appenzeller Mountain Dog	Appenzell Dağ Köpeği			
ARIEG	Ariegeois				
AUS-CAT	Australian Cattle Dog	Avustralya Sığır Köpeği			
AUS-KEL	Australian Kelpie	Avustralyalı Kelpie			
AUS-SHP	Australian Shepherd	Avustralya Çoban Köpeği	shepherd		
AUS-SLK-TER	Australian Silky Terrier	Avustralya Silky Terrier	terrier	Australia	
AU-TER	Australian Terrier	Avustralya Terrier	terrier	Australia	
AU-BTH	Austrian Black and Tan Hound	Avusturya Tazısı	hound		
AU-PIN	Austrian Pinscher	Avusturyalı Pinscher			
AZAWA	Azawakh			Mali, Egypt	
BND-MAS	Bandogge Mastiff		mastiff		
BSNJI	Basenji				
BSS-HND	Basset Hound	Basset Tazısı	hound		
BAVAR-MOU-HND	Bavarian Mountain Hound	Bavyera Dağ Tazısı	hound	Germany	
BEAGLE	Beagle				
BRDD-COL	Bearded Collie	Sakallı Collie	collie		
BEAU	Beauceron				
BEDL-TER	Bedlington Terrier		terrier		
BELG-MAL	Belgian Malinois	Belçika Malinois		Belgium	
BELG-SHP	Belgian Sheepdog		sheepdog		
BERGA	Bergamasco				
